geo,nace,share_M,share_F,wage_M,wage_F,gap,between,within
AT,M,0.0547,0.0737,28.98,21.04,27.3982,-2.1903,2.3444
AT,N,0.0793,0.0797,16.66,13.62,18.2473,-0.0255,1.1114
AT,P,0.0317,0.0682,25.62,19.79,22.7557,-3.8094,1.3393
AT,Q,0.0371,0.1498,21.4,19.31,9.7664,-10.5495,0.8983
AT,R,0.013,0.0157,21.42,16.42,23.3427,-0.2376,0.3301
AT,S,0.0118,0.0272,21.86,17.03,22.0952,-1.3793,0.4338
BE,B,8e-4,1e-4,26.68,26.38,1.1244,0.0688,5e-4
BE,C,0.2093,0.0762,26.08,25.8,1.0736,12.7583,0.1477
BE,D,0.0077,0.0035,38.63,32.21,16.6192,0.5509,0.1332
BE,E,0.0095,0.0026,25.19,25.98,-3.1362,0.6494,-0.0176
BE,F,0.0762,0.013,21.3,22.74,-6.7606,5.1437,-0.2372
BE,G,0.1292,0.1099,24.2,22.35,7.6446,1.6671,0.8174
BE,H,0.088,0.0284,23.31,23.67,-1.5444,5.1763,-0.0774
BE,I,0.0217,0.0196,18.21,17.94,1.4827,0.1398,0.0206
BE,J,0.0454,0.0207,30.81,28.77,6.6212,2.7262,0.2493
BE,K,0.0287,0.0307,36.2,31.1,14.0884,-0.2504,0.5603
BE,L,0.0036,0.0034,29.61,29.38,0.7768,0.0244,0.003
BE,M,0.0482,0.0422,34.57,31.93,7.6367,0.7318,0.441
BE,N,0.1234,0.1866,21.64,20.27,6.3309,-4.8991,0.7847
BE,P,0.1033,0.1866,42.85,40.74,4.9242,-12.8721,1.1301
BE,Q,0.0803,0.2496,23.97,23.89,0.3338,-14.9742,0.0488
BE,R,0.0145,0.0112,23.32,22.82,2.1441,0.2806,0.0238
BE,S,0.0103,0.0158,26.85,22.19,17.3557,-0.4961,0.2245
BG,B,0.0174,0.0035,7.49,6.39,14.6862,1.6393,0.1941
BG,C,0.2558,0.2306,5.21,3.95,24.1843,1.9481,5.1746
BG,D,0.0259,0.0072,8.34,8.51,-2.0384,2.6655,-0.0475
BG,E,0.028,0.0133,4,3.67,8.25,0.9504,0.1152
BG,F,0.1051,0.0162,4.23,5.06,-19.6217,6.9723,-0.8504
BG,G,0.1295,0.1434,4.94,4.48,9.3117,-1.0988,1.06
BG,H,0.0925,0.0368,4.94,4.54,8.0972,4.4533,0.4367
BG,I,0.0362,0.0513,3.61,3.4,5.8172,-0.896,0.1551
BG,J,0.0786,0.0507,14.25,10.35,27.3684,5.7819,4.2571
BG,K,0.0183,0.042,8.18,6.33,22.6161,-2.9108,0.9423
BG,L,0.0073,0.0059,4.86,4.37,10.0823,0.1085,0.0544
BG,M,0.0243,0.0317,8.35,7.34,12.0958,-0.9734,0.4779
BG,N,0.0807,0.0436,4.24,5.17,-21.934,2.9471,-0.9757
BG,P,0.0367,0.153,6.02,5.89,2.1595,-11.6907,0.2082
BG,Q,0.0414,0.142,6.83,5.43,20.4978,-10.4114,2.1686
BG,R,0.0157,0.0199,4.86,4.05,16.6667,-0.3136,0.2431
BG,S,0.0067,0.009,4.24,4.67,-10.1415,-0.1784,-0.0571
CY,C,0.1169,0.0852,10.62,7.58,28.6252,2.1312,2.2663
CY,E,0.0123,0.0022,9.04,14,-54.8673,0.8536,-0.266
CY,F,0.1314,0.0186,10.24,10.76,-5.0781,8.7379,-0.2877
CY,G,0.1627,0.1655,10.03,7.66,23.6291,-0.1843,2.8691
CY,H,0.0736,0.0422,16.59,11.55,30.3797,3.2634,2.1528
CY,I,0.1377,0.1594,8.25,7.59,8,-1.2673,0.7234
CY,J,0.0775,0.0411,21.65,15.66,27.6674,5.0037,2.6195
CY,K,0.053900000000000003,0.0769,21.84,16.53,24.3132,-3.2555,2.5636
CY,L,0.0028,0.0036,7.48,7.08,5.3476,-0.0451,0.0094
CY,M,0.0683,0.0869,17.99,13.27,26.2368,-2.1447,2.703
CY,N,0.0429,0.0467,11.37,8.71,23.3949,-0.2813,0.879
CY,P,0.0514,0.1428,22.56,20.67,8.3777,-14.5644,1.3539
CY,Q,0.0433,0.1026,19.2,14.37,25.1562,-7.3414,2.598
CY,R,0.017,0.0148,10.95,8.75,20.0913,0.1651,0.2579
CY,S,0.0083,0.0116,11.75,8.77,25.3617,-0.2486,0.2178
CZ,B,0.0087,0.0017,10.1,9.16,9.3069,0.6369,0.0468
CZ,C,0.3911,0.2454,10.13,7.81,22.9023,12.5213,7.07
CZ,D,0.0141,0.0056,13.67,11.35,16.9715,1.0172,0.2182
CZ,E,0.0219,0.0076,8.29,8.03,3.1363,1.1171,0.0368
CZ,F,0.0746,0.0163,8.78,8.04,8.4282,4.6948,0.3223
CZ,G,0.1101,0.1514,10.5,7.99,23.9048,-3.6614,3.1423
CZ,H,0.0994,0.0432,8.91,8.16,8.4175,4.5875,0.5121
CZ,I,0.0172,0.031,6.75,6.03,10.6667,-0.8414,0.1663
CZ,J,0.0499,0.0258,17.7,12.7,28.2486,3.5131,1.8129
CZ,K,0.0166,0.028,17.82,11.55,35.1852,-1.5975,1.34
CZ,L,0.0053,0.0079,11.1,8.9,19.8198,-0.2545,0.1388
CZ,M,0.0364,0.036,14.27,11.31,20.7428,0.0447,1.0254
CZ,N,0.0606,0.0641,7.3,6.46,11.5068,-0.2268,0.5016
CZ,P,0.0426,0.1525,10.52,8.49,19.2966,-10.0058,1.8963
CZ,Q,0.033,0.1545,12.17,9.91,18.5703,-12.8425,2.0293
CZ,R,0.0124,0.0162,8.68,7.54,13.1336,-0.291,0.156
CZ,S,0.006,0.0127,8.13,7.53,7.3801,-0.5,0.0537
DE,B,0.0019,4e-4,24.23,23.71,2.1461,0.147,0.0025
DE,C,0.2852,0.1132,26.73,21.15,20.8754,16.9958,4.5877
DE,D,0.0112,0.0045,31.99,27.39,14.3795,0.8245,0.1486
DE,E,0.0131,0.0039,21.44,21.74,-1.3993,0.8198,-0.0105
DE,F,0.0714,0.0137,20.46,17.9,12.5122,4.569,0.4499
DE,G,0.1315,0.1481,21.55,16.88,21.6705,-1.3164,2.6944
DE,H,0.0936,0.0368,18.04,17.44,3.3259,4.1624,0.1615
DE,I,0.0295,0.0407,14.12,12.87,8.8527,-0.6245,0.1809
DE,J,0.047,0.0275,32.99,25.51,22.6735,2.3577,1.1502
DE,K,0.0233,0.0301,36.38,26.62,26.8279,-0.8923,1.0751
DE,L,0.0085,0.0093,23.72,20.72,12.6476,-0.0742,0.1107
DE,M,0.0616,0.0666,31.84,23.3,26.8216,-0.5686,2.2599
DE,N,0.0826,0.0777,17.82,15.54,12.7946,0.3385,0.7544
DE,P,0.044,0.123,25.97,23.35,10.0886,-8.0444,0.9028
DE,Q,0.0674,0.2601,25.74,20.24,21.3675,-18.2816,3.717
DE,R,0.0115,0.0129,19.63,15.78,19.6128,-0.0998,0.1937
DE,S,0.0166,0.0315,23.15,19.44,16.0259,-1.3083,0.3676
DK,B,0.0028,8e-4,50.92,44.13,13.3346,0.2676,0.0345
DK,C,0.1508,0.0672,38.4,35.12,8.5417,8.775,1.0211
DK,D,0.0072,0.0033,45.19,38.5,14.8042,0.476,0.1002
DK,E,0.008,0.0021,34.51,33.48,2.9846,0.5641,0.0149
DK,F,0.0931,0.0115,35.55,32.67,8.1013,7.9456,0.4302
DK,G,0.1682,0.1355,30.49,25.63,15.9397,2.6278,2.1077
DK,H,0.0727,0.0245,35.35,32.2,8.9109,4.653,0.437
DK,I,0.0427,0.0498,24.06,22.82,5.1538,-0.475,0.164
DK,J,0.0552,0.0278,43.57,36.81,15.5153,3.14,0.8016
DK,K,0.0367,0.0305,47.26,39.71,15.9755,0.7621,0.7248
DK,L,0.0126,0.0111,33.14,29.37,11.376,0.1315,0.1279
DK,M,0.0616,0.0559,44.76,38.17,14.723,0.6747,1.1056
DK,N,0.0939,0.0977,30.17,30.44,-0.8949,-0.3261,-0.0739
DK,P,0.0692,0.1052,34.89,32.63,6.4775,-3.4695,0.5626
