geo,nace,share_M,share_F,wage_M,wage_F,gap,between,within
FR,M,0.0709,0.0654,29.1,23.9,17.8694,0.6801,1.6534
FR,N,0.0974,0.105,15.72,14.57,7.3155,-0.5366,0.543
FR,P,0.0462,0.1063,23.14,20.85,9.8963,-6.1714,0.8151
FR,Q,0.0763,0.2868,19.58,17.89,8.6313,-18.4004,1.4314
FR,R,0.0125,0.0121,24.09,19.15,20.5064,0.0363,0.2841
FR,S,0.0126,0.018,18.39,17.41,5.329,-0.4563,0.07
HR,B,0.005,5e-4,8.01,7.28,9.1136,0.4066,0.024
HR,C,0.2577,0.1458,7.73,6.56,15.1358,9.4288,2.7857
HR,D,0.0124,0.0051,10.42,10.73,-2.975,0.9211,-0.032
HR,E,0.0442,0.0133,6.9,7.08,-2.6087,2.5497,-0.0611
HR,F,0.1329,0.0121,6.44,8.45,-31.2112,10.6144,-1.7194
HR,G,0.1444,0.22,8.48,6.62,21.934,-6.7281,3.9993
HR,H,0.0886,0.0299,8.31,7.83,5.7762,5.5872,0.3357
HR,I,0.0589,0.0702,7.25,6.55,9.6552,-0.9188,0.533
HR,J,0.0453,0.0261,15.57,12.1,22.2864,3.1412,1.4614
HR,K,0.0181,0.0379,13.24,10.33,21.9789,-2.7566,0.9628
HR,L,0.0041,0.0043,8.1,8,1.2346,-0.023,0.005
HR,M,0.0328,0.0348,11.31,11.04,2.3873,-0.2714,0.1077
HR,N,0.0454,0.0394,6.37,5.7,10.5181,0.4304,0.3353
HR,P,0.0521,0.1784,10.33,8.85,14.3272,-14.2895,2.0128
HR,Q,0.0353,0.1451,11.08,8.83,20.3069,-12.8974,2.3948
HR,R,0.0169,0.0259,8.48,6.86,19.1038,-0.8114,0.4091
HR,S,0.0057,0.0112,8.97,6.7,25.3066,-0.5042,0.2268
HU,B,0.0023,4e-4,7.86,7.11,9.542,0.1858,0.0128
HU,C,0.3025,0.2021,7.95,6.1,23.2704,8.9998,5.9588
HU,D,0.0143,0.0054,10.27,8.81,14.2162,1.0843,0.1831
HU,E,0.0224,0.0082,6.48,6.23,3.858,1.151,0.0488
HU,F,0.0843,0.018,6,6.24,-4,5.1856,-0.1567
HU,G,0.1212,0.1387,7.38,6.05,18.0217,-1.5012,2.2069
HU,H,0.1104,0.0396,6.45,6.71,-4.031,5.9423,-0.2489
HU,I,0.0336,0.049,4.94,4.48,9.3117,-0.9267,0.2424
HU,J,0.0486,0.0268,13,9.58,26.3077,3.1412,1.6453
HU,K,0.0159,0.0324,14.88,9.63,35.2823,-2.5713,1.6191
HU,L,0.0095,0.0084,6.6,6.11,7.4242,0.0864,0.0558
HU,M,0.0435,0.0454,11.72,9.29,20.7338,-0.2513,1.38
HU,N,0.0698,0.0684,5.94,5.2,12.4579,0.1032,0.6526
HU,P,0.0511,0.1737,8.23,6.44,21.7497,-11.4776,2.5685
HU,Q,0.0503,0.1593,7.92,6.46,18.4343,-10.0115,1.9537
HU,R,0.0146,0.0161,8.71,6.31,27.5545,-0.1427,0.4704
HU,S,0.0058,0.0083,6.53,5.66,13.3231,-0.1903,0.0781
IE,B,0.0013,2e-4,28.16,25.2,10.5114,0.0998,0.0074
IE,C,0.1635,0.0685,28.6,25.9,9.4406,9.0344,1.0933
IE,D,0.009,0.0036,41.13,36.53,11.1841,0.7397,0.1011
IE,E,0.0089,0.0022,21.99,23.22,-5.5935,0.5255,-0.0239
IE,F,0.0696,0.0072,25.68,23.16,9.8131,5.3254,0.3378
IE,G,0.1647,0.1606,22.59,18.88,16.4232,0.2984,2.1069
IE,H,0.0636,0.0173,24.13,23.12,4.1857,3.8165,0.1427
IE,I,0.0828,0.0969,17.25,15.41,10.6667,-0.8016,0.5773
IE,J,0.0772,0.0459,46,38.29,16.7609,4.6152,1.6568
IE,K,0.049,0.0497,45.01,35.23,21.7285,-0.1044,1.6841
IE,L,0.0082,0.0099,26.58,20.41,23.2129,-0.1372,0.1949
IE,M,0.0696,0.06,34.5,30.11,12.7246,1.0876,0.993
IE,N,0.0795,0.0661,23.25,19.76,15.0108,1.0094,0.8869
IE,P,0.0526,0.1428,38.06,37.65,1.0772,-11.9218,0.1398
IE,Q,0.0771,0.2401,28.04,25.76,8.1312,-15.3039,1.2624
IE,R,0.0151,0.0142,22.57,18.8,16.7036,0.0697,0.1926
IE,S,0.0082,0.015,20.03,18.37,8.2876,-0.4547,0.0672
IT,B,0.0015,2e-4,17.84,18.48,-3.5874,0.1409,-0.0033
IT,C,0.3033,0.1394,15.88,13.65,14.0428,14.8496,3.0294
IT,D,0.0101,0.0039,22.37,19.75,11.7121,0.7946,0.1125
IT,E,0.0257,0.0064,14.16,14.19,-0.2119,1.6732,-0.003
IT,F,0.0738,0.0118,13.81,13.11,5.0688,5.1236,0.1837
IT,G,0.1159,0.1271,14.83,12.46,15.9811,-0.9384,1.7666
IT,H,0.1071,0.04,13.91,13.48,3.0913,5.6384,0.1941
IT,I,0.0386,0.0489,11.39,10.43,8.4284,-0.6875,0.2579
IT,J,0.0443,0.0298,19.38,16.22,16.3055,1.5929,0.7186
IT,K,0.0318,0.0355,28.99,22.41,22.6975,-0.5906,1.3585
IT,L,0.0018,0.0023,17.38,14.48,16.6858,-0.04,0.0365
IT,M,0.0319,0.0356,21.38,16.26,23.9476,-0.4294,1.0595
IT,N,0.0916,0.1019,11.36,10.64,6.338,-0.695,0.4273
IT,P,0.0546,0.2223,23.5,21.65,7.8723,-23.2314,1.5714
IT,Q,0.0559,0.1806,19.86,15.8,20.4431,-13.6435,2.9461
IT,R,0.0065,0.0059,30.5,12.86,57.8361,0.0847,0.669
IT,S,0.0057,0.0086,12.53,10.76,14.1261,-0.2033,0.0779
LT,B,0.004,7e-4,10.68,9.99,6.4607,0.3,0.0142
LT,C,0.2125,0.1583,11.62,8.82,24.0964,4.8581,4.554
LT,D,0.0137,0.0049,12.06,10.79,10.5307,0.8828,0.1034
LT,E,0.0184,0.0071,9.48,9.14,3.5865,0.9198,0.0381
LT,F,0.1358,0.0208,9.92,10.58,-6.6532,10.3413,-0.4531
LT,G,0.1153,0.1701,11.29,8.89,21.2578,-4.8449,3.004
LT,H,0.2196,0.0415,9.13,10.58,-15.8817,15.3965,-1.6611
LT,I,0.0172,0.0461,9.11,7.56,17.0143,-2.1112,0.4301
LT,J,0.046,0.0309,22.05,16.48,25.2608,2.5579,1.8784
LT,K,0.0125,0.0225,22.74,15.04,33.861,-1.6533,1.1816
LT,L,0.0064,0.0049,9.71,8.82,9.1658,0.1176,0.0441
LT,M,0.0293,0.0412,16.3,13.85,15.0307,-1.5677,0.7571
LT,N,0.0611,0.055,8.59,7.74,9.8952,0.4357,0.4327
LT,P,0.0541,0.1916,10.45,10.01,4.2105,-12.3371,0.4741
LT,Q,0.0344,0.1698,18.08,12.12,32.9646,-17.931,5.338
LT,R,0.0151,0.0272,9.25,8.62,6.8108,-0.9479,0.1169
LT,S,0.0046,0.0076,10.21,8.66,15.1812,-0.2452,0.0829
LU,C,0.1096,0.0335,24.73,23.91,3.3158,6.0685,0.1925
LU,E,0.0104,0.0027,27.38,27.57,-0.6939,0.6975,-0.0041
LU,F,0.1658,0.0262,21.28,24.43,-14.8026,10.4694,-0.9922
LU,G,0.1046,0.1221,24.18,19.89,17.7419,-1.2658,1.5957
LU,H,0.1118,0.0273,27.66,26.01,5.9653,7.4333,0.3765
LU,I,0.0284,0.0537,19.96,17.1,14.3287,-1.5339,0.3852
LU,J,0.063,0.0341,35.96,30.64,14.7942,3.1525,0.8475
LU,K,0.1125,0.1365,47.68,38.43,19.4002,-3.3957,3.7782
LU,L,0.0049,0.0084,33.18,31.01,6.5401,-0.3695,0.0476
LU,M,0.1016,0.1149,42.61,33.68,20.9575,-1.6601,3.1717
LU,N,0.0869,0.1071,20.13,17.61,12.5186,-1.2522,0.8019
LU,P,0.0352,0.0949,48.74,51.17,-4.9856,-9.7776,-0.5188
LU,Q,0.0492,0.2093,34.24,34.11,0.3797,-17.9541,0.0551
LU,R,0.0099,0.011,30.05,30.07,-0.0666,-0.1104,-7e-4
LU,S,0.0062,0.0182,31.82,27.41,13.8592,-1.1674,0.1761
LV,B,0.011,0.0024,9.71,8.98,7.518,0.7841,0.0479
LV,C,0.2208,0.1177,9.39,7.22,23.1097,8.376,3.5946
LV,D,0.0218,0.0089,10.75,9.13,15.0698,1.2573,0.2432
LV,E,0.017,0.0075,7.79,6.97,10.5263,0.6863,0.0981
LV,F,0.1243,0.0161,9.76,8.82,9.6311,9.8395,0.6456
LV,G,0.1178,0.1671,9.62,7.25,24.6362,-4.0683,3.3045
LV,H,0.1386,0.0494,8.91,8.12,8.8664,7.4356,0.7269
LV,I,0.0234,0.0573,7.14,5.67,20.5882,-2.1274,0.5808
LV,J,0.0683,0.0409,16.88,12.13,28.1398,3.888,2.5381
LV,K,0.0172,0.0273,17.82,12.28,31.0887,-1.4858,1.2079
LV,L,0.0203,0.0162,7.33,7.04,3.9563,0.2928,0.0518
LV,M,0.0339,0.0321,14.25,11.79,17.2632,0.231,0.7949
LV,N,0.0567,0.0375,7.47,6.83,8.5676,1.3423,0.2949
LV,P,0.0618,0.2132,7.96,7.23,9.1709,-11.2547,0.9826
LV,Q,0.0401,0.1597,16.53,11.17,32.4259,-16.2118,5.2389
